################################
##########2016-09-15############
伊河                          ,龙门镇                        ,148.63,12.5,-,
洛河                          ,卢氏                          ,6.18,1.41,-,
洛河                          ,故县水库蓄水量,523.28,(4.56)亿,-,
洛河                          ,故县水库出库,-,-,-,
洛河                          ,长水                          ,90.58,2.90,-,
洛河                          ,白马寺                        ,7.86,14.2,-,
伊洛河                        ,黑石关                        ,107.67,21,-,
丹河                          ,山路坪                        ,-,-,-,
沁河                          ,五龙口                        ,141.85,16.3,-,
沁河                          ,武陟                          ,100.14,11.4,-,
黄河                          ,花园口                        ,88.88,338,-,
黄河                          ,夹河滩                        ,72.23,276,-,
黄河                          ,高村                          ,58.91,291,0.453,
黄河                          ,孙口                          ,44.4,279,0.371,
大清河                        ,戴村坝,-,-,-,
东平湖                        ,东平湖老湖蓄水量,42.41,(4.75)亿,-,
东平湖                        ,出湖闸,-,-,-,
黄河                          ,艾山                          ,36.73,263,0.762,
黄河                          ,泺口                          ,25.89,242,0.791,
黄河                          ,利津                          ,10.26,162,0.292,

################################
##########2016-09-24############
黄河                          ,唐乃亥                        ,2515.72,718,-,
黄河                          ,龙羊峡入库,-,646,-,
黄河                          ,龙羊峡蓄水量,2573.3,(155)亿,-,
黄河                          ,龙羊峡出库,-,257,-,
黄河                          ,刘家峡入库,-,658,-,
黄河                          ,刘家峡蓄水量,1729.92,(34.1)亿,-,
黄河                          ,刘家峡出库,-,303,-,
黄河                          ,兰州                          ,1511.82,653,-,
黄河                          ,下河沿                        ,1230.46,578,-,
黄河                          ,石嘴山                        ,1087.18,740,-,
黄河                          ,巴彦高勒                      ,1051.03,725,-,
黄河                          ,三湖河口                      ,1018.72,625,-,
黄河                          ,包头                          ,1002.47,600,-,
黄河                          ,头道拐                        ,986.93,701,-,
黄河                          ,万家寨蓄水量,972.77,(2.65)亿,-,
黄河                          ,万家寨上出库,-,462,-,
黄河                          ,万家寨下                      ,898.92,462,-,
黄河                          ,府谷                          ,807.84,798,-,
黄河                          ,吴堡                          ,637.58,965,-,
黄河                          ,龙门                          ,380.82,905,-,
汾河                          ,河津                          ,372.47,37.5,-,
北洛河                        ,状头                          ,361.48,4.42,-,
泾河                          ,张家山                        ,420.41,8.58,-,
渭河                          ,咸阳                          ,381.2,28.9,-,
渭河                          ,华县                          ,335.78,105,-,
黄河                          ,潼关                          ,327.33,895,-,
黄河                          ,史家滩蓄水量,305.98,(0.584)亿,-,
黄河                          ,三门峡                        ,275.44,1020,2.84,
黄河                          ,小浪底上蓄水量,248.5,(37.5)亿,-,
黄河                          ,小浪底                        ,134.51,389,-,
伊河                          ,东湾                          ,2.8,5.05,-,
伊河                          ,陆浑坝上蓄水量,312.98,(4.25)亿,-,
伊河                          ,陆浑坝上出库,-,-,-,
伊河                          ,龙门镇                        ,148.63,12.5,-,
洛河                          ,卢氏                          ,6.18,1.41,-,
洛河                          ,故县水库蓄水量,523.13,(4.53)亿,-,
洛河                          ,故县水库出库,-,-,-,
洛河                          ,长水                          ,90.71,5.95,-,
洛河                          ,白马寺                        ,7.83,11,-,
伊洛河                        ,黑石关                        ,107.87,17,-,
丹河                          ,山路坪                        ,-,-,-,
沁河                          ,五龙口                        ,141.87,17.7,-,
沁河                          ,武陟                          ,100.11,10.6,-,
黄河                          ,花园口                        ,88.9,345,-,
黄河                          ,夹河滩                        ,72.33,313,-,
黄河                          ,高村                          ,58.87,263,0.395,
黄河                          ,孙口                          ,44.37,271,0.338,
大清河                        ,戴村坝,-,-,-,
东平湖                        ,东平湖老湖蓄水量,42.41,(4.75)亿,-,
东平湖                        ,出湖闸,-,-,-,
黄河                          ,艾山                          ,36.74,265,0.823,
黄河                          ,泺口                          ,25.88,219,0.842,
黄河                          ,利津                          ,10.28,168,0.373,

################################
##########2016-09-25############
黄河                          ,唐乃亥                        ,2515.69,706,-,
黄河                          ,龙羊峡入库,-,646,-,
黄河                          ,龙羊峡蓄水量,2573.39,(155)亿,-,
黄河                          ,龙羊峡出库,-,329,-,
黄河                          ,刘家峡入库,-,609,-,
黄河                          ,刘家峡蓄水量,1730.05,(34.2)亿,-,
黄河                          ,刘家峡出库,-,312,-,
黄河                          ,兰州                          ,1511.82,653,-,
黄河                          ,下河沿                        ,1230.39,544,-,
